stage,tree_node,var_name,var_idx,var_value
Stage1,Root,DG_size,67,0.0
Stage1,Root,DG_size,68,0.0
Stage1,Root,DG_size,69,0.0
Stage1,Root,DG_size,7,0.0
Stage1,Root,DG_size,70,0.0
Stage1,Root,DG_size,71,0.0
Stage1,Root,DG_size,72,0.0
Stage1,Root,DG_size,8,0.0
Stage1,Root,DG_size,9,0.0
Stage1,Root,Pij_ss,0,0.2952820334946674
Stage1,Root,Pij_ss,1,0.19955905004982477
Stage1,Root,Pij_ss,10,1.1156249772931273
Stage1,Root,Pij_ss,100,-3.052532941551641
Stage1,Root,Pij_ss,101,-4.124571428256826
Stage1,Root,Pij_ss,102,0.00763310889408008
Stage1,Root,Pij_ss,103,-2.210639241829079
Stage1,Root,Pij_ss,104,-2.210639241829079
Stage1,Root,Pij_ss,105,2.958645374764068
Stage1,Root,Pij_ss,106,-5.000000000000002
Stage1,Root,Pij_ss,107,1.2830616806372561
Stage1,Root,Pij_ss,108,0.8587678571013654
Stage1,Root,Pij_ss,109,-0.9485033855538973
Stage1,Root,Pij_ss,11,0.9773750227068724
Stage1,Root,Pij_ss,110,0.3663909346060276
Stage1,Root,Pij_ss,111,0.3663909346060276
Stage1,Root,Pij_ss,112,-0.2634691596813722
Stage1,Root,Pij_ss,113,-0.2634691596813722
Stage1,Root,Pij_ss,114,-0.9034691596813723
Stage1,Root,Pij_ss,115,-0.9034691596813723
Stage1,Root,Pij_ss,116,-1.7814966144461042
Stage1,Root,Pij_ss,117,-4.267126031848583
Stage1,Root,Pij_ss,118,-0.08101401211068938
Stage1,Root,Pij_ss,119,-4.267126031848583
Stage1,Root,Pij_ss,12,-0.39591893368142644
Stage1,Root,Pij_ss,13,-0.19845608902544604
Stage1,Root,Pij_ss,14,-0.631448632997658
Stage1,Root,Pij_ss,15,-0.732295263897507
Stage1,Root,Pij_ss,16,-1.0229217111798516
Stage1,Root,Pij_ss,17,-1.1252586863787137
Stage1,Root,Pij_ss,18,-0.67628836679052
Stage1,Root,Pij_ss,19,-0.9780819773869895
Stage1,Root,Pij_ss,2,1.1911589164555088
Stage1,Root,Pij_ss,20,-0.49451231459354106
Stage1,Root,Pij_ss,21,-1.3630416356826796
Stage1,Root,Pij_ss,22,-1.2468787075945966
Stage1,Root,Pij_ss,23,-0.017921973789468356
Stage1,Root,Pij_ss,24,-2.9180819773869913
Stage1,Root,Pij_ss,25,0.9270267726491872
Stage1,Root,Pij_ss,26,-2.030738750451166
Stage1,Root,Pij_ss,27,-2.030738750451166
Stage1,Root,Pij_ss,28,1.5644507282531428
Stage1,Root,Pij_ss,29,-3.847536511208376
Stage1,Root,Pij_ss,3,0.6751652584832939
Stage1,Root,Pij_ss,30,2.2564813064705764
Stage1,Root,Pij_ss,31,-0.4643964672490873
Stage1,Root,Pij_ss,32,-3.383140043959287
Stage1,Root,Pij_ss,33,-0.33569823362454343
Stage1,Root,Pij_ss,34,-0.33569823362454343
Stage1,Root,Pij_ss,35,0.5562406532352877
Stage1,Root,Pij_ss,36,0.5562406532352877
Stage1,Root,Pij_ss,37,-0.08375934676471221
Stage1,Root,Pij_ss,38,-0.08375934676471221
Stage1,Root,Pij_ss,39,-5.000000000000002
Stage1,Root,Pij_ss,4,0.8791167750113741
Stage1,Root,Pij_ss,40,0.8075609631932933
Stage1,Root,Pij_ss,41,0.13584564727901438
Stage1,Root,Pij_ss,42,-0.31732229010086904
Stage1,Root,Pij_ss,43,0.6614766428218547
Stage1,Root,Pij_ss,44,0.3601001131040158
Stage1,Root,Pij_ss,45,0.5257455341749991
Stage1,Root,Pij_ss,46,0.6309241042035062
Stage1,Root,Pij_ss,47,-1.7708713715975049
Stage1,Root,Pij_ss,48,-0.3798998868959843
Stage1,Root,Pij_ss,49,-0.04852335717814539
Stage1,Root,Pij_ss,5,0.5790097783029673
Stage1,Root,Pij_ss,50,-0.8342544658250014
Stage1,Root,Pij_ss,51,-0.4400000000000022
Stage1,Root,Pij_ss,52,-1.2078196788462046
Stage1,Root,Pij_ss,53,-0.9421803211537979
Stage1,Root,Pij_ss,54,-1.0980394212578921
Stage1,Root,Pij_ss,55,-1.608756040280791
Stage1,Root,Pij_ss,56,-1.6283469944461642
Stage1,Root,Pij_ss,57,-2.1466111497107794
Stage1,Root,Pij_ss,58,-1.862028505241938
Stage1,Root,Pij_ss,59,-0.8643579104621146
Stage1,Root,Pij_ss,6,-1.5644507282531428
Stage1,Root,Pij_ss,60,-0.941461799453162
Stage1,Root,Pij_ss,61,-1.513905390538408
Stage1,Root,Pij_ss,62,-1.1684903046951005
Stage1,Root,Pij_ss,63,-2.804357910462115
Stage1,Root,Pij_ss,64,1.258073716575539
Stage1,Root,Pij_ss,65,-1.3279335309812572
Stage1,Root,Pij_ss,66,-1.3279335309812572
Stage1,Root,Pij_ss,67,1.7708713715975049
Stage1,Root,Pij_ss,68,-2.6446939012307786
Stage1,Root,Pij_ss,69,1.4984097073442018
Stage1,Root,Pij_ss,7,0.20316525848329373
Stage1,Root,Pij_ss,70,-0.5556649914024252
Stage1,Root,Pij_ss,71,-1.2814679466350603
Stage1,Root,Pij_ss,72,-0.3813324957012125
Stage1,Root,Pij_ss,73,-0.3813324957012125
Stage1,Root,Pij_ss,74,-0.15579514632789931
Stage1,Root,Pij_ss,75,-0.15579514632789931
Stage1,Root,Pij_ss,76,-0.7957951463278998
Stage1,Root,Pij_ss,77,-0.7957951463278998
Stage1,Root,Pij_ss,78,-1.7185320533649397
Stage1,Root,Pij_ss,79,0.26182831710650434
Stage1,Root,Pij_ss,8,0.48115891645550835
Stage1,Root,Pij_ss,80,-0.6577053380229627
Stage1,Root,Pij_ss,81,0.20587702091645504
Stage1,Root,Pij_ss,82,-0.025409343680280434
Stage1,Root,Pij_ss,83,0.20723766078678113
Stage1,Root,Pij_ss,84,0.5009400367411042
Stage1,Root,Pij_ss,85,-2.958645374764068
Stage1,Root,Pij_ss,86,-0.7654093436802805
Stage1,Root,Pij_ss,87,-0.504122979083545
Stage1,Root,Pij_ss,88,-1.1527623392132194
Stage1,Root,Pij_ss,89,-0.5200000000000002
Stage1,Root,Pij_ss,9,-0.48088322498862646
Stage1,Root,Pij_ss,90,-1.2734869289975779
Stage1,Root,Pij_ss,91,-0.9565130710024233
Stage1,Root,Pij_ss,92,-1.5081374411369473
Stage1,Root,Pij_ss,93,-1.7798187947998065
Stage1,Root,Pij_ss,94,-2.143851020131
Stage1,Root,Pij_ss,95,-2.419547369168188
Stage1,Root,Pij_ss,96,-1.4674170330111236
Stage1,Root,Pij_ss,97,-2.1845714282568247
Stage1,Root,Pij_ss,98,-0.9777113930337998
Stage1,Root,Pij_ss,99,-3.221654770934195
Stage1,Root,bus_gen_ss,0:0,0.20000000000000007
Stage1,Root,bus_gen_ss,0:1,0.20000000000000007
Stage1,Root,bus_gen_ss,0:113,0.25900000000000006
Stage1,Root,bus_gen_ss,0:117,0.2670000000000001
Stage1,Root,bus_gen_ss,0:118,0.26200000000000007
Stage1,Root,bus_gen_ss,0:119,0.2579999999999999
Stage1,Root,bus_gen_ss,0:2,0.6600000000000001
Stage1,Root,bus_gen_ss,0:3,0.6600000000000001
Stage1,Root,bus_gen_ss,1:112,0.25600000000000017
Stage1,Root,bus_gen_ss,1:114,0.25300000000000006
Stage1,Root,bus_gen_ss,1:4,0.20000000000000007
Stage1,Root,bus_gen_ss,1:5,0.20000000000000007
Stage1,Root,bus_gen_ss,1:6,0.6600000000000001
Stage1,Root,bus_gen_ss,1:7,0.6600000000000001
Stage1,Root,bus_gen_ss,12:10,0.40499999999999897
Stage1,Root,bus_gen_ss,12:109,0.9360000000000003
Stage1,Root,bus_gen_ss,12:11,0.40499999999999897
Stage1,Root,bus_gen_ss,12:12,0.40499999999999897
Stage1,Root,bus_gen_ss,12:9,0.40499999999999897
Stage1,Root,bus_gen_ss,13:72,0.0
Stage1,Root,bus_gen_ss,14:13,0.09999999999999896
Stage1,Root,bus_gen_ss,14:14,0.09999999999999896
Stage1,Root,bus_gen_ss,14:15,1.4000000000000006
Stage1,Root,bus_gen_ss,15:16,1.4000000000000006
Stage1,Root,bus_gen_ss,17:141,0.09300000000000005
Stage1,Root,bus_gen_ss,17:142,0.09700000000000004
Stage1,Root,bus_gen_ss,17:143,0.09400000000000001
Stage1,Root,bus_gen_ss,17:144,0.09100000000000004
Stage1,Root,bus_gen_ss,17:145,0.09100000000000004
Stage1,Root,bus_gen_ss,17:146,0.09700000000000004
Stage1,Root,bus_gen_ss,17:148,0.11800000000000006
Stage1,Root,bus_gen_ss,17:149,0.112
Stage1,Root,bus_gen_ss,17:150,0.10300000000000004
Stage1,Root,bus_gen_ss,17:151,0.045000000000000005
Stage1,Root,bus_gen_ss,17:17,2.1820000000000004
Stage1,Root,bus_gen_ss,18:121,0.6660000000000003
Stage1,Root,bus_gen_ss,2:120,0.6150000000000003
Stage1,Root,bus_gen_ss,20:73,4.0
Stage1,Root,bus_gen_ss,21:156,7.135
Stage1,Root,bus_gen_ss,21:74,0.5
Stage1,Root,bus_gen_ss,21:75,0.0
Stage1,Root,bus_gen_ss,21:76,0.5
Stage1,Root,bus_gen_ss,21:77,0.0
Stage1,Root,bus_gen_ss,21:78,0.24814004395928724
Stage1,Root,bus_gen_ss,21:79,0.0
Stage1,Root,bus_gen_ss,22:18,0.7699999999999984
Stage1,Root,bus_gen_ss,22:19,1.5999999999999988
Stage1,Root,bus_gen_ss,22:20,0.40499999999999897
Stage1,Root,bus_gen_ss,22:21,0.40499999999999897
Stage1,Root,bus_gen_ss,22:22,0.40499999999999897
Stage1,Root,bus_gen_ss,24:23,0.20000000000000007
Stage1,Root,bus_gen_ss,24:24,0.20000000000000007
Stage1,Root,bus_gen_ss,24:25,0.6600000000000001
Stage1,Root,bus_gen_ss,24:80,0.5
Stage1,Root,bus_gen_ss,25:26,0.20000000000000007
Stage1,Root,bus_gen_ss,25:27,0.20000000000000007
Stage1,Root,bus_gen_ss,25:28,0.6600000000000001
Stage1,Root,bus_gen_ss,25:29,0.6600000000000001
Stage1,Root,bus_gen_ss,3:115,0.26800000000000007
Stage1,Root,bus_gen_ss,30:30,0.40499999999999897
Stage1,Root,bus_gen_ss,30:31,0.40499999999999897
Stage1,Root,bus_gen_ss,35:116,1.2999999999999998
Stage1,Root,bus_gen_ss,36:152,0.13200000000000003
Stage1,Root,bus_gen_ss,36:32,3.3430000000000004
Stage1,Root,bus_gen_ss,36:33,0.40499999999999897
Stage1,Root,bus_gen_ss,36:34,0.40499999999999897
Stage1,Root,bus_gen_ss,37:81,0.0
Stage1,Root,bus_gen_ss,38:111,1.2510000000000008
Stage1,Root,bus_gen_ss,38:35,0.40499999999999897
Stage1,Root,bus_gen_ss,38:36,0.40499999999999897
Stage1,Root,bus_gen_ss,38:82,0.5
Stage1,Root,bus_gen_ss,38:83,0.5
Stage1,Root,bus_gen_ss,38:84,0.5
Stage1,Root,bus_gen_ss,39:37,1.4000000000000006
Stage1,Root,bus_gen_ss,41:38,3.123
Stage1,Root,bus_gen_ss,44:39,1.6999999999999986
Stage1,Root,bus_gen_ss,45:85,0.5
Stage1,Root,bus_gen_ss,45:86,0.5
Stage1,Root,bus_gen_ss,45:87,0.5
Stage1,Root,bus_gen_ss,45:88,0.5
Stage1,Root,bus_gen_ss,45:89,0.5
Stage1,Root,bus_gen_ss,45:90,0.5
Stage1,Root,bus_gen_ss,46:40,0.7699999999999984
Stage1,Root,bus_gen_ss,46:41,0.7699999999999984
Stage1,Root,bus_gen_ss,46:42,1.5999999999999988
Stage1,Root,bus_gen_ss,46:43,0.40499999999999897
Stage1,Root,bus_gen_ss,46:44,0.40499999999999897
Stage1,Root,bus_gen_ss,46:45,0.40499999999999897
Stage1,Root,bus_gen_ss,48:46,0.07999999999999831
Stage1,Root,bus_gen_ss,48:47,0.07999999999999831
Stage1,Root,bus_gen_ss,48:48,0.36500000000000016
Stage1,Root,bus_gen_ss,48:49,0.36500000000000016
Stage1,Root,bus_gen_ss,49:50,0.07999999999999831
Stage1,Root,bus_gen_ss,49:51,0.07999999999999831
Stage1,Root,bus_gen_ss,49:52,0.36500000000000016
Stage1,Root,bus_gen_ss,49:53,0.36500000000000016
Stage1,Root,bus_gen_ss,50:155,0.0
Stage1,Root,bus_gen_ss,54:54,0.36500000000000016
Stage1,Root,bus_gen_ss,54:55,0.36500000000000016
Stage1,Root,bus_gen_ss,55:122,0.0
Stage1,Root,bus_gen_ss,56:153,0.0
Stage1,Root,bus_gen_ss,57:103,0.0
Stage1,Root,bus_gen_ss,57:106,0.0
Stage1,Root,bus_gen_ss,59:105,0.0
Stage1,Root,bus_gen_ss,6:8,3.3429999999999995
Stage1,Root,bus_gen_ss,60:102,0.0
Stage1,Root,bus_gen_ss,60:123,0.0
Stage1,Root,bus_gen_ss,60:124,0.0
Stage1,Root,bus_gen_ss,60:125,0.0
Stage1,Root,bus_gen_ss,60:126,0.34259548449328353
Stage1,Root,bus_gen_ss,60:127,0.0
Stage1,Root,bus_gen_ss,60:128,0.0
Stage1,Root,bus_gen_ss,60:129,0.0
Stage1,Root,bus_gen_ss,60:130,0.0
Stage1,Root,bus_gen_ss,60:131,0.0
Stage1,Root,bus_gen_ss,60:132,0.0
Stage1,Root,bus_gen_ss,60:133,0.0
Stage1,Root,bus_gen_ss,60:134,0.0
Stage1,Root,bus_gen_ss,60:138,0.0
Stage1,Root,bus_gen_ss,60:157,0.0
Stage1,Root,bus_gen_ss,60:56,1.6999999999999986
Stage1,Root,bus_gen_ss,60:99,0.0
Stage1,Root,bus_gen_ss,61:100,0.0
Stage1,Root,bus_gen_ss,61:101,0.0
Stage1,Root,bus_gen_ss,61:91,0.0
Stage1,Root,bus_gen_ss,61:97,0.0
Stage1,Root,bus_gen_ss,61:98,0.0
Stage1,Root,bus_gen_ss,62:57,0.09999999999999896
Stage1,Root,bus_gen_ss,62:58,0.09999999999999896
Stage1,Root,bus_gen_ss,62:59,0.09999999999999896
Stage1,Root,bus_gen_ss,62:60,0.09999999999999896
Stage1,Root,bus_gen_ss,62:61,0.09999999999999896
Stage1,Root,bus_gen_ss,62:62,0.40499999999999897
Stage1,Root,bus_gen_ss,62:63,0.40499999999999897
Stage1,Root,bus_gen_ss,62:64,0.40499999999999897
Stage1,Root,bus_gen_ss,63:65,1.4000000000000006
Stage1,Root,bus_gen_ss,64:154,4.91026447154747
Stage1,Root,bus_gen_ss,65:66,3.123
Stage1,Root,bus_gen_ss,66:110,0.0
Stage1,Root,bus_gen_ss,67:135,0.0
Stage1,Root,bus_gen_ss,67:136,0.0
Stage1,Root,bus_gen_ss,67:137,0.0
Stage1,Root,bus_gen_ss,67:139,0.0
Stage1,Root,bus_gen_ss,67:140,0.0
Stage1,Root,bus_gen_ss,67:147,0.0
Stage1,Root,bus_gen_ss,67:96,0.0
Stage1,Root,bus_gen_ss,68:67,1.906999999999999
Stage1,Root,bus_gen_ss,69:68,0.36500000000000016
Stage1,Root,bus_gen_ss,69:69,0.36500000000000016
Stage1,Root,bus_gen_ss,69:92,0.5
Stage1,Root,bus_gen_ss,69:93,0.5
Stage1,Root,bus_gen_ss,69:94,0.5
Stage1,Root,bus_gen_ss,69:95,0.5
Stage1,Root,bus_gen_ss,70:70,1.906999999999999
Stage1,Root,bus_gen_ss,70:71,1.906999999999999
Stage1,Root,bus_gen_ss,71:104,0.0
Stage1,Root,bus_gen_ss,71:107,0.0
Stage1,Root,bus_gen_ss,71:108,0.0
Stage1,Root,eta,None,85.50000000000006
Stage1,Root,harden,0,0.0
Stage1,Root,harden,1,0.0
Stage1,Root,harden,10,0.0
Stage1,Root,harden,100,0.0
Stage1,Root,harden,101,0.0
Stage1,Root,harden,102,0.0
Stage1,Root,harden,103,0.0
Stage1,Root,harden,104,0.0
Stage1,Root,harden,105,0.0
Stage1,Root,harden,106,0.0
Stage1,Root,harden,107,0.0
Stage1,Root,harden,108,0.0
Stage1,Root,harden,109,0.0
